date,NA,strain,concentration_CFU,batch,duration_h,Flowcell_no,Sample_original,Identifier,Barcode,Total_cycles,Spike_species,Kit
20200324,aDNA,PAO1unfiltTCPA,510000000CFU,1,24,4,Unfiltered 1:1 TC/PA,S1B1,barcode01,25,Pseudomonas aeruginosa,RAB204
20200324,aDNA,PAO1unfiltTCPA,10000000CFU,1,24,4,Unfiltered 1:50 TC/PA,S1B1,barcode02,25,Pseudomonas aeruginosa,RAB204
20200324,aDNA,PAO1filtTCPA,510000000CFU,1,24,4,Filtered 1:1 TC/PA,S1B1,barcode03,25,Pseudomonas aeruginosa,RAB204
20200324,aDNA,PAO1filtTCPA,10000000CFU,1,24,4,Filtered 1:50 TC/PA,S1B1,barcode04,25,Pseudomonas aeruginosa,RAB204
20200324,aDNA,PAO1unfiltTCPA,510000000CFU,2,24,4,Unfiltered 1:1 TC/PA,S1B1,barcode05,27,Pseudomonas aeruginosa,RAB204
20200324,aDNA,PAO1unfiltTCPA,10000000CFU,2,24,4,Unfiltered 1:50 TC/PA,S1B1,barcode06,27,Pseudomonas aeruginosa,RAB204
20200324,aDNA,PAO1filtTCPA,510000000CFU,2,24,4,Filtered 1:1 TC/PA,S1B1,barcode07,27,Pseudomonas aeruginosa,RAB204
20200324,aDNA,PAO1filtTCPA,10000000CFU,2,24,4,Filtered 1:50 TC/PA,S1B1,barcode08,27,Pseudomonas aeruginosa,RAB204
20200403,aDNA,PAO1unfiltTCPA,510000000CFU,3,2,5,Unfiltered 1:1 TC/PA,S2B1,barcode01,36,Pseudomonas aeruginosa,RAB204
20200403,aDNA,PAO1filtTCPA,510000000CFU,3,2,5,Filtered 1:1 TC/PA,S2B1,barcode02,36,Pseudomonas aeruginosa,RAB204
20200403,aDNA,Unknown1,1000000000CFU,1,24,5,Contaminated_600g,S2B1,barcode07,36,Unknown,RAB204
20200403,aDNA,Unknown2,1000000000CFU,1,24,5,Contaminated_21100g,S2B1,barcode08,36,Unknown,RAB204
20200403,aDNA,PAO1unfiltTCPA,32000000CFU,1,24,5,Unfiltered 1:8 TC/PA,S2B2,barcode01,36,Pseudomonas aeruginosa,RAB204
20200403,aDNA,PAO1filtTCPA,32000000CFU,1,24,5,Filtered 1:8 TC/PA,S2B2,barcode02,36,Pseudomonas aeruginosa,RAB204
20200403,aDNA,Unknown2,1000000000CFU,2,24,5,Contaminated_21100g,S2B2,barcode08,36,Unknown,RAB204
20200403,aDNA,PAO1unfiltTCPA,50000CFU,1,24,5,Unfiltered 1:5000 TC/PA,S2B2,barcode09,36,Pseudomonas aeruginosa,RAB204
20200403,aDNA,PAO1filtTCPA,50000CFU,1,24,5,Filtered 1:5000 TC/PA,S2B2,barcode10,36,Pseudomonas aeruginosa,RAB204
20200403,aDNA,PAO1unfiltTCPA,63500CFU,1,24,5,Unfiltered 1:4000 TC/PA,S2B2,barcode11,36,Pseudomonas aeruginosa,RAB204
20200403,aDNA,PAO1filtTCPA,63500CFU,1,24,5,Filtered 1:4000 TC/PA,S2B2,barcode12,36,Pseudomonas aeruginosa,RAB204
20200629,aDNA,PAO1filtTCPA,508000CFU,1,20,6,Filtered 1:500 TC/PA,S3B1,barcode05,29,Pseudomonas aeruginosa,RAB204
20200629,aDNA,PAO1unfiltTCPA,508000CFU,1,20,6,Unfiltered 1:500 TC/PA,S3B1,barcode06,29,Pseudomonas aeruginosa,RAB204
20200629,aDNA,PAO1filtTCPA,5080CFU,1,20,6,Filtered 1:50000 TC/PA,S3B1,barcode09,29,Pseudomonas aeruginosa,RAB204
20200629,aDNA,PAO1unfiltTCPA,5080CFU,1,20,6,Unfiltered 1:50000 TC/PA,S3B1,barcode10,29,Pseudomonas aeruginosa,RAB204
20200629,aDNA,PAO1filtTCPA,508CFU,1,20,6,Filtered 1:500000 TC/PA,S3B1,barcode11,29,Pseudomonas aeruginosa,RAB204
20200629,aDNA,PAO1unfiltTCPA,508CFU,1,20,6,Unfiltered 1:500000 TC/PA,S3B1,barcode12,29,Pseudomonas aeruginosa,RAB204
20200629,aDNA,PAO1filtTCPA,50800000CFU,1,20,6,Filtered 1:5 TC/PA 2,S3B1,barcode03,29,Pseudomonas aeruginosa,RAB204
20200629,aDNA,PAO1filtTCPA,5080000CFU,3,24,6,Filtered 1:50 TC/PA 2,S3B2,barcode07,29,Pseudomonas aeruginosa,RAB204
20200629,aDNA,PAO1unfiltTCPA,508000CFU,2,24,6,Unfiltered 1:500 TC/PA 2,S3B2,barcode08,29,Pseudomonas aeruginosa,RAB204
20200629,aDNA,PAO1filtTCPA,508000CFU,2,24,6,Filtered 1:500 TC/PA 2,S3B2,barcode03,29,Pseudomonas aeruginosa,RAB204
20200629,aDNA,PAO1unfiltTCPA,508000CFU,3,24,6,Unfiltered 1:500 TC/PA 2,S3B2,barcode04,29,Pseudomonas aeruginosa,RAB204
20200629,aDNA,PAO1filtTCPA,50000CFU,2,24,6,Filtered 1:5000 TC/PA,S3B2,barcode05,29,Pseudomonas aeruginosa,RAB204
20200629,aDNA,PAO1unfiltTCPA,50000CFU,2,24,6,Unfiltered 1:5000 TC/PA,S3B2,barcode06,29,Pseudomonas aeruginosa,RAB204
20200701,aDNA,PAO1filtTCPA,50800000CFU,2,18,6,Filtered 1:5 TC/PA 2,S3B3,barcode07,29,Pseudomonas aeruginosa,RAB204
20200701,aDNA,PAO1unfiltTCPA,50800000CFU,2,18,6,Unfiltered 1:5 TC/PA 2,S3B3,barcode08,29,Pseudomonas aeruginosa,RAB204
20200701,aDNA,PAO1filtTCPA,50800000CFU,3,18,6,Filtered 1:5 TC/PA 2,S3B3,barcode01_16_23,29,Pseudomonas aeruginosa,RAB204
20200701,aDNA,PAO1unfiltTCPA,50800000CFU,3,18,6,Unfiltered 1:5 TC/PA 2,S3B3,barcode02_16_23,29,Pseudomonas aeruginosa,RAB204
20200701,aDNA,PAO1filtTCPA,5080CFU,2,18,6,Filtered 1:50000 TC/PA,S3B3,barcode05,29,Pseudomonas aeruginosa,RAB204
20200701,aDNA,PAO1unfiltTCPA,5080CFU,2,18,6,Unfiltered 1:50000 TC/PA,S3B3,barcode06,29,Pseudomonas aeruginosa,RAB204
20200729,aDNA,PAO1filtTCPA,10CFU,1,24,7,Filtered 1:25000000 TC/PA_1,S4B1,barcode01,29,Pseudomonas aeruginosa,RAB204
20200729,aDNA,PAO1filtTCPA,10CFU,2,24,7,Filtered 1:25000000 TC/PA_2,S4B1,barcode02,29,Pseudomonas aeruginosa,RAB204
20200729,aDNA,PAO1filtTCPA,10CFU,3,24,7,Filtered 1:25000000 TC/PA_3,S4B1,barcode03,29,Pseudomonas aeruginosa,RAB204
20200729,aDNA,PAO1filtTCPA,10CFU,4,24,7,Filtered 1:25000000 TC/PA_4,S4B1,barcode04,29,Pseudomonas aeruginosa,RAB204
20200729,aDNA,PAO1filtTCPA,10CFU,5,24,7,Filtered 1:25000000 TC/PA_5,S4B1,barcode05,29,Pseudomonas aeruginosa,RAB204
20200729,aDNA,PAO1unfiltTCPA,10CFU,1,24,7,Unfiltered 1:25000000 TC/PA_1,S4B1,barcode06,29,Pseudomonas aeruginosa,RAB204
20200729,aDNA,PAO1unfiltTCPA,10CFU,2,24,7,Unfiltered 1:25000000 TC/PA_2,S4B1,barcode07,29,Pseudomonas aeruginosa,RAB204
20200729,aDNA,PAO1unfiltTCPA,10CFU,3,24,7,Unfiltered 1:25000000 TC/PA_3,S4B1,barcode08,29,Pseudomonas aeruginosa,RAB204
20201013,aDNA,PAO123S,1000000000CFU,1,18,11,PAO1 23S,S7B1,barcode05,27,Pseudomonas aeruginosa,RBK004
