date,NA,strain,concentration_CFU,batch,duration_h,Flowcell_no,Sample_original,Identifier,Barcode,Total_cycles,Spike_species,Kit
20220419,aDNA,Saureus-1-16S,10CFU,822,18,35,guppy-demux,S8B22,barcode01,29,Staphylococcus aureus,RAB204
20220419,aDNA,Saureus-2-16S,10CFU,822,18,35,guppy-demux,S8B22,barcode02,29,Staphylococcus aureus,RAB204
20220419,aDNA,Saureus-3-16S,10CFU,822,18,35,guppy-demux,S8B22,barcode03,29,Staphylococcus aureus,RAB204
20220419,aDNA,Saureus-1-16S,100CFU,822,18,35,guppy-demux,S8B22,barcode04,29,Staphylococcus aureus,RAB204
20220419,aDNA,Saureus-2-16S,100CFU,822,18,35,guppy-demux,S8B22,barcode05,29,Staphylococcus aureus,RAB204
20220419,aDNA,Saureus-3-16S,100CFU,822,18,35,guppy-demux,S8B22,barcode06,29,Staphylococcus aureus,RAB204
20220419,aDNA,TC-Saureus-1-16S,10CFU,822,18,35,guppy-demux,S8B22,barcode07,29,Staphylococcus aureus,RAB204
20220419,aDNA,TC-Saureus-2-16S,10CFU,822,18,35,guppy-demux,S8B22,barcode08,29,Staphylococcus aureus,RAB204
20220419,aDNA,TC-Saureus-3-16S,10CFU,822,18,35,guppy-demux,S8B22,barcode09,29,Staphylococcus aureus,RAB204
20220419,aDNA,TC-Saureus-1-16S,100CFU,822,18,35,guppy-demux,S8B22,barcode10,29,Staphylococcus aureus,RAB204
20220419,aDNA,TC-Saureus-2-16S,100CFU,822,18,35,guppy-demux,S8B22,barcode11,29,Staphylococcus aureus,RAB204
20220419,aDNA,TC-Saureus-3-16S,100CFU,822,18,35,guppy-demux,S8B22,barcode12,29,Staphylococcus aureus,RAB204
20220419,DNA,Bsubtilis-1,10CFU,824,18,36,guppy-demux,S8B24,barcode01,0,Bacillus subtilis,RBK004
20220419,DNA,Bsubtilis-2,10CFU,824,18,36,guppy-demux,S8B24,barcode02,0,Bacillus subtilis,RBK004
20220419,DNA,Bsubtilis-3,10CFU,824,18,36,guppy-demux,S8B24,barcode03,0,Bacillus subtilis,RBK004
20220419,DNA,Bsubtilis-1,100CFU,824,18,36,guppy-demux,S8B24,barcode04,0,Bacillus subtilis,RBK004
20220419,DNA,Bsubtilis-2,100CFU,824,18,36,guppy-demux,S8B24,barcode05,0,Bacillus subtilis,RBK004
20220419,DNA,Bsubtilis-3,100CFU,824,18,36,guppy-demux,S8B24,barcode06,0,Bacillus subtilis,RBK004
20220419,DNA,TC-Bsubtilis-1,10CFU,824,18,36,guppy-demux,S8B24,barcode07,0,Bacillus subtilis,RBK004
20220419,DNA,TC-Bsubtilis-2,10CFU,824,18,36,guppy-demux,S8B24,barcode08,0,Bacillus subtilis,RBK004
20220419,DNA,TC-Bsubtilis-3,10CFU,824,18,36,guppy-demux,S8B24,barcode09,0,Bacillus subtilis,RBK004
20220419,DNA,TC-Bsubtilis-1,100CFU,824,18,36,guppy-demux,S8B24,barcode10,0,Bacillus subtilis,RBK004
20220419,DNA,TC-Bsubtilis-2,100CFU,824,18,36,guppy-demux,S8B24,barcode11,0,Bacillus subtilis,RBK004
20220419,DNA,TC-Bsubtilis-3,100CFU,824,18,36,guppy-demux,S8B24,barcode12,0,Bacillus subtilis,RBK004
