date,NA,strain,concentration_CFU,batch,duration_h,Flowcell_no,Sample_original,Identifier,Barcode,Total_cycles,Spike_species,Kit
20210512,aDNA,CalbicansUnfiltTC,27300000CFU,78,12,21,,S7B8,barcode01,29,Candida albicans,RBK004
20210512,aDNA,CalbicansUnfiltTC,2730000CFU,78,12,21,,S7B8,barcode02,29,Candida albicans,RBK004
20210512,aDNA,CalbicansUnfiltTC,273000CFU,78,12,21,,S7B8,barcode03,29,Candida albicans,RBK004
20210512,aDNA,CalbicansUnfiltTC,27300CFU,78,12,21,,S7B8,barcode04,29,Candida albicans,RBK004
20210512,aDNA,CalbicansUnfiltTC,2730CFU,78,12,21,,S7B8,barcode05,29,Candida albicans,RBK004
20210512,aDNA,CalbicansUnfiltTC,273CFU,78,12,21,,S7B8,barcode06,29,Candida albicans,RBK004
20210512,aDNA,CalbicansUnfiltTC,27CFU,78,12,21,,S7B8,barcode07,29,Candida albicans,RBK004
20210512,aDNA,CalbicansUnfiltTC,3CFU,78,12,21,,S7B8,barcode08,29,Candida albicans,RBK004
20210906,DNA,Calbicans,2000000CFU,85,24,26,Calbicans,S8B5,barcode01,0,Candida albicans,RBK004
20210906,DNA,Calbicans,100CFU,85,24,26,Calbicans,S8B5,barcode02,0,Candida albicans,RBK004
20210906,DNA,Calbicans,20CFU,85,24,26,Calbicans,S8B5,barcode03,0,Candida albicans,RBK004
20210906,DNA,Calbicans,10CFU,85,24,26,Calbicans,S8B5,barcode04,0,Candida albicans,RBK004
20210906,aDNA,Calbicans,2000000CFU,85,24,26,Calbicans,S8B5,barcode05,29,Candida albicans,RBK004
20210906,aDNA,Calbicans,100CFU,85,24,26,Calbicans,S8B5,barcode11,29,Candida albicans,RBK004
20210906,aDNA,Calbicans,20CFU,85,24,26,Calbicans,S8B5,barcode07,29,Candida albicans,RBK004
20210906,aDNA,Calbicans,10CFU,85,24,26,Calbicans,S8B5,barcode08,29,Candida albicans,RBK004
20211122,DNA,Calbicans-1,10CFU,87,18,28,Calbicans-1,S8B7,barcode01,0,Candida albicans,RBK004
20211122,DNA,Calbicans-2,10CFU,87,18,28,Calbicans-2,S8B7,barcode02,0,Candida albicans,RBK004
20211122,DNA,Calbicans-3,10CFU,87,18,28,Calbicans-3,S8B7,barcode03,0,Candida albicans,RBK004
20211122,DNA,Calbicans-1,100CFU,87,18,28,Calbicans-1,S8B7,barcode04,0,Candida albicans,RBK004
20211122,DNA,Calbicans-2,100CFU,87,18,28,Calbicans-2,S8B7,barcode05,0,Candida albicans,RBK004
20211122,DNA,Calbicans-3,100CFU,87,18,28,Calbicans-3,S8B7,barcode06,0,Candida albicans,RBK004
20211122,DNA,Calbicans-1,1000CFU,87,18,28,Calbicans-1,S8B7,barcode07,0,Candida albicans,RBK004
20211122,DNA,Calbicans-2,1000CFU,87,18,28,Calbicans-2,S8B7,barcode08,0,Candida albicans,RBK004
20211122,DNA,Calbicans-3,1000CFU,87,18,28,Calbicans-3,S8B7,barcode09,0,Candida albicans,RBK004
