date,NA,strain,concentration_CFU,batch,duration_h,Flowcell_no,Sample_original,Identifier,Barcode,Total_cycles,Spike_species,Kit
20211122,aDNA,Calbicans-18S-1,10CFU,88,18,29,Calbicans-18S-1,S8B8,barcode01,29,Candida albicans,RBK004
20211122,aDNA,Calbicans-18S-2,10CFU,88,18,29,Calbicans-18S-2,S8B8,barcode02,29,Candida albicans,RBK004
20211122,aDNA,Calbicans-18S-3,10CFU,88,18,29,Calbicans-18S-3,S8B8,barcode03,29,Candida albicans,RBK004
20211122,aDNA,Calbicans-18S-1,100CFU,88,18,29,Calbicans-18S-1,S8B8,barcode04,29,Candida albicans,RBK004
20211122,aDNA,Calbicans-18S-2,100CFU,88,18,29,Calbicans-18S-2,S8B8,barcode05,29,Candida albicans,RBK004
20211122,aDNA,Calbicans-18S-3,100CFU,88,18,29,Calbicans-18S-3,S8B8,barcode06,29,Candida albicans,RBK004
20211122,aDNA,Calbicans-18S-1,1000CFU,88,18,29,Calbicans-18S-1,S8B8,barcode07,29,Candida albicans,RBK004
20211122,aDNA,Calbicans-18S-2,1000CFU,88,18,29,Calbicans-18S-2,S8B8,barcode08,29,Candida albicans,RBK004
20211122,aDNA,Calbicans-18S-3,1000CFU,88,18,29,Calbicans-18S-3,S8B8,barcode09,29,Candida albicans,RBK004
20211122,aDNA,Calbicans-18S-1,10000CFU,88,18,29,Calbicans-18S-1,S8B8,barcode10,29,Candida albicans,RBK004
20211122,aDNA,Calbicans-18S-2,10000CFU,88,18,29,Calbicans-18S-2,S8B8,barcode11,29,Candida albicans,RBK004
20211122,aDNA,Calbicans-18S-3,10000CFU,88,18,29,Calbicans-18S-3,S8B8,barcode12,29,Candida albicans,RBK004
20211123,aDNA,TC-Calbicans-18S-1,10CFU,812,18,30,TC-Calbicans-18S-1,S8B12,barcode01,29,Candida albicans,RBK004
20211123,aDNA,TC-Calbicans-18S-2,10CFU,812,18,30,TC-Calbicans-18S-2,S8B12,barcode02,29,Candida albicans,RBK004
20211123,aDNA,TC-Calbicans-18S-3,10CFU,812,18,30,TC-Calbicans-18S-3,S8B12,barcode03,29,Candida albicans,RBK004
20211123,aDNA,TC-Calbicans-18S-1,100CFU,812,18,30,TC-Calbicans-18S-1,S8B12,barcode04,29,Candida albicans,RBK004
20211123,aDNA,TC-Calbicans-18S-2,100CFU,812,18,30,TC-Calbicans-18S-2,S8B12,barcode05,29,Candida albicans,RBK004
20211123,aDNA,TC-Calbicans-18S-3,100CFU,812,18,30,TC-Calbicans-18S-3,S8B12,barcode06,29,Candida albicans,RBK004
20211123,aDNA,TC-Calbicans-18S-1,1000CFU,812,18,30,TC-Calbicans-18S-1,S8B12,barcode07,29,Candida albicans,RBK004
20211123,aDNA,TC-Calbicans-18S-2,1000CFU,812,18,30,TC-Calbicans-18S-2,S8B12,barcode08,29,Candida albicans,RBK004
20211123,aDNA,TC-Calbicans-18S-3,1000CFU,812,18,30,TC-Calbicans-18S-3,S8B12,barcode09,29,Candida albicans,RBK004
20211123,aDNA,TC-Calbicans-18S-1,10000CFU,812,18,30,TC-Calbicans-18S-1,S8B12,barcode10,29,Candida albicans,RBK004
20211123,aDNA,TC-Calbicans-18S-2,10000CFU,812,18,30,TC-Calbicans-18S-2,S8B12,barcode11,29,Candida albicans,RBK004
20211123,aDNA,TC-Calbicans-18S-3,10000CFU,812,18,30,TC-Calbicans-18S-3,S8B12,barcode12,29,Candida albicans,RBK004
